titre,entreprise,localisation,salaire,date_publication,description
Customer Success H/F,Airria,Meylan - 38,,2025-12-16 17:08:37.546608,"Customer Success H/F à Meylan - 38, chez Airria, pour un CDI, en temps plein"
Chef de Projet - Génie des Procédés H/F,Sugar Consulting,Solaize - 69,45 000 - 60 000 € / an,2025-12-16 17:08:37.547028,"Chef de Projet - Génie des Procédés H/F à Solaize - 69, chez Sugar Consulting, pour un CDI, avec un salaire de 45 000 - 60 000 € / an, en temps plein"
Manager Commercial H/F,123 Pare-Brise,Nord - 59,2 524 - 4 000 € / mois,2025-12-16 17:08:37.547418,"Manager Commercial H/F à Nord - 59, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 524 - 4 000 € / mois, en temps plein"
Électricien Tertiaire - Industriel H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 17 € / heure,2025-12-16 17:08:37.547769,"Électricien Tertiaire - Industriel H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 17 € / heure, en temps plein"
Technicien BE H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 16 € / heure,2025-12-16 17:08:37.548123,"Technicien BE H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 16 € / heure, en temps plein"
Commercial RHF-Drome H/F,Gineys,Valence - 26,1 900 - 2 300 € / mois,2025-12-16 17:08:37.548478,"Commercial RHF-Drome H/F à Valence - 26, chez Gineys, pour un CDI, avec un salaire de 1 900 - 2 300 € / mois, en temps plein, Télétravail occasionnel"
Responsable Commercial Grands Comptes H/F,Ocea Smart Building,Créteil - 94,,2025-12-16 17:08:37.548814,"Responsable Commercial Grands Comptes H/F à Créteil - 94, chez Ocea Smart Building, pour un CDI, en temps plein"
Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F,Zapa,Nantes - 44,,2025-12-16 17:08:37.549143,"Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F à Nantes - 44, chez Zapa, pour un CDI, en temps partiel"
Responsable de Projet Etudes Amonts - Système Combattant H/F,Safran,Massy - 91,,2025-12-16 17:08:37.549470,"Responsable de Projet Etudes Amonts - Système Combattant H/F à Massy - 91, chez Safran, pour un CDI, en temps plein"
Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 17:08:37.549817,"Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F,Zapa,Paris 8e - 75,,2025-12-16 17:08:37.550155,"ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F à Paris 8e - 75, chez Zapa, pour un CDI, en temps partiel"
Conseiller de Vente - CDI 35H - Boutique H/F,Zapa,Cannes - 06,,2025-12-16 17:08:37.550493,"Conseiller de Vente - CDI 35H - Boutique H/F à Cannes - 06, chez Zapa, pour un CDI, en temps plein"
Animateur Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 17:08:37.550848,"Animateur Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
Moniteur Boucherie H/F,Solve Recrutement,Mulhouse - 68,45 000 - 55 000 € / an,2025-12-16 17:08:37.551181,"Moniteur Boucherie H/F à Mulhouse - 68, chez Solve Recrutement, pour un CDI, avec un salaire de 45 000 - 55 000 € / an, en temps plein"
Responsable des Experts Multi Spécialistes H/F,Stelliant,Rennes - 35,50 000 € / an,2025-12-16 17:08:37.551512,"Responsable des Experts Multi Spécialistes H/F à Rennes - 35, chez Stelliant, pour un CDI, avec un salaire de 50 000 € / an, en temps plein"
Mécanicien Automobile H/F,Feu Vert,Saint-Grégoire - 35,1 900 - 2 500 € / mois,2025-12-16 17:08:37.551872,"Mécanicien Automobile H/F à Saint-Grégoire - 35, chez Feu Vert, super recruteur, pour un CDI, avec un salaire de 1 900 - 2 500 € / mois, en temps plein"
